,BusID,BusNumber,DatagramDate,DatagramTime,DistanceTraveled,DBF,TBF,EventCount,ECPF,StopCount,SCPF,Concessionare
0,1,21018,2018-11-12,09:10:42,49258880,49258880,3993,1,1,236,236,2
1,1,21018,2018-11-13,09:59:30,49400377,141497,24,2,1,238,2,2
2,1,21018,2018-12-27,09:41:09,65292020,15891643,1055,5,3,316,78,2
3,1,21018,2019-01-03,09:40:17,67126927,1834907,167,6,1,322,6,2
4,1,21018,2019-02-04,09:27:35,78545278,11418351,767,7,1,386,64,2
5,1,21018,2019-02-04,15:56:13,78607154,61876,6,8,1,388,2,2
6,1,21018,2019-03-08,10:40:28,90250360,11643206,762,9,1,455,67,2
7,1,21018,2019-03-13,10:26:50,92479128,2228768,119,11,2,464,9,2
8,1,21018,2019-03-25,16:57:26,97759223,5280095,294,12,1,488,24,2
9,1,21018,2019-04-06,15:31:33,101894579,4135356,286,13,1,523,35,2
10,1,21018,2019-04-25,09:18:02,106763947,4869368,449,14,1,549,26,2
11,1,21018,2019-05-30,23:21:22,116588667,9824720,854,14,0,638,89,2
12,3,21020,2018-08-12,09:24:21,16340477,16340477,1785,1,1,106,106,2
13,3,21020,2018-09-10,20:08:14,24613171,8272694,706,2,1,156,50,2
14,3,21020,2018-09-18,11:55:50,26289102,1675931,183,3,1,165,9,2
15,3,21020,2018-12-02,06:30:50,44419383,18130281,1794,5,2,280,115,2
16,3,21020,2019-04-12,09:39:17,84173140,39753757,3147,8,3,494,214,2
17,3,21020,2019-04-12,17:30:40,84207649,34509,7,10,2,496,2,2
18,3,21020,2019-04-14,06:05:37,84356252,148603,36,11,1,498,2,2
19,3,21020,2019-04-27,13:42:13,88428739,4072487,319,12,1,521,23,2
20,3,21020,2019-05-30,20:29:49,94643511,6214772,798,18,6,590,69,2
21,7,21025,2018-08-01,09:38:58,29389068,29389068,1521,1,1,115,115,2
22,7,21025,2018-09-01,11:30:20,54926942,25537874,745,4,3,154,39,2
23,7,21025,2018-09-02,13:38:56,54988346,61404,26,6,2,156,2,2
24,7,21025,2018-11-17,08:48:09,119857263,64868917,1819,7,1,227,71,2
25,7,21025,2018-12-09,17:20:19,137685767,17828504,536,16,9,261,34,2
26,7,21025,2018-12-25,14:10:54,152755778,15070011,380,18,2,275,14,2
27,7,21025,2019-01-17,08:35:42,161513458,8757680,546,19,1,325,50,2
28,7,21025,2019-05-30,22:49:13,206262968,44749510,3206,19,0,516,191,2
29,8,21026,2018-09-15,15:53:26,62948011,62948011,2607,1,1,126,126,2
30,8,21026,2018-12-31,10:59:47,105506115,42558104,2563,2,1,317,191,2
31,8,21026,2019-01-26,10:33:51,111774787,6268672,623,3,1,378,61,2
32,8,21026,2019-02-05,10:40:17,115113075,3338288,240,4,1,402,24,2
33,8,21026,2019-02-08,17:45:16,116063853,950778,79,5,1,409,7,2
34,8,21026,2019-05-30,21:15:47,149869163,33805310,2667,5,0,553,144,2
35,17,11008,2019-03-09,13:35:56,5200381,5200381,6805,1,1,59,59,1
36,17,11008,2019-03-11,18:18:13,5861701,661320,52,2,1,66,7,1
37,17,11008,2019-03-14,08:39:00,6535007,673306,62,4,2,71,5,1
38,17,11008,2019-03-28,06:09:12,9875269,3340262,333,6,2,89,18,1
39,17,11008,2019-04-02,08:46:54,11044561,1169292,122,7,1,100,11,1
40,17,11008,2019-04-09,11:31:31,12463324,1418763,170,9,2,116,16,1
41,17,11008,2019-04-12,14:46:20,13291702,828378,75,11,2,126,10,1
42,17,11008,2019-04-13,09:26:18,13529538,237836,18,14,3,132,6,1
43,17,11008,2019-05-30,23:50:33,22850175,9320637,1142,15,1,191,59,1
44,18,11019,2018-10-05,07:45:52,16335208,16335208,3079,1,1,136,136,1
45,18,11019,2019-01-30,12:45:24,26054533,9719325,2812,2,1,274,138,1
46,18,11019,2019-02-05,09:56:04,27424257,1369724,141,3,1,288,14,1
47,18,11019,2019-03-03,12:44:26,33880331,6456074,626,5,2,347,59,1
48,18,11019,2019-03-29,20:39:37,39187165,5306834,631,7,2,396,49,1
49,18,11019,2019-05-30,23:59:56,52561790,13374625,1491,8,1,485,89,1
50,19,11010,2018-12-13,06:07:32,26200231,26200231,4734,18,18,152,152,1
51,19,11010,2019-01-17,12:49:18,28843574,2643343,846,20,2,183,31,1
52,19,11010,2019-01-30,15:53:56,30876220,2032646,315,22,2,202,19,1
53,19,11010,2019-04-02,07:40:14,34960869,4084649,1479,25,3,248,46,1
54,19,11010,2019-04-06,13:46:26,35804177,843308,102,26,1,261,13,1
55,19,11010,2019-05-10,11:10:29,37574167,1769990,813,27,1,264,3,1
56,21,11026,2018-08-28,06:34:11,17220740,17220740,2166,1,1,152,152,1
57,21,11026,2018-09-24,11:36:43,23186324,5965584,653,3,2,204,52,1
58,21,11026,2019-01-29,10:19:31,45949261,22762937,3046,5,2,392,188,1
59,21,11026,2019-03-02,06:40:51,52182658,6233397,764,11,6,452,60,1
60,21,11026,2019-03-15,15:24:54,55610373,3427715,320,13,2,490,38,1
61,21,11026,2019-03-23,16:05:13,57319320,1708947,192,15,2,513,23,1
62,21,11026,2019-04-09,08:41:10,61124027,3804707,400,16,1,550,37,1
63,21,11026,2019-05-30,22:44:32,70816319,9692292,1238,17,1,641,91,1
64,22,11027,2018-07-09,12:53:18,8508227,8508227,972,1,1,64,64,1
65,22,11027,2018-08-31,07:39:57,17315948,8807721,1266,2,1,127,63,1
66,22,11027,2018-09-18,17:53:53,21062647,3746699,442,3,1,158,31,1
67,22,11027,2018-09-27,19:14:24,22870983,1808336,217,5,2,179,21,1
68,22,11027,2018-10-19,15:02:07,26709627,3838644,523,6,1,208,29,1
69,22,11027,2018-11-17,17:47:17,31731982,5022355,698,7,1,255,47,1
70,22,11027,2018-12-03,12:09:11,36604073,4872091,378,8,1,281,26,1
